"freq","word1","word2","word3"
"2","a","chicken","coop"
"2","a","chicken","unk"
"2","a","child","a"
"2","a","child","again"
"6","a","child","and"
"2","a","child","he"
"2","a","child","i"
"4","a","child","in"
"2","a","child","it"
"2","a","child","of"
"2","a","child","on"
"2","a","child","with"
"2","a","choice","and"
"2","a","choice","between"
"2","a","choice","but"
"2","a","chorus","line"
"2","a","circle","and"
"2","a","city","and"
"2","a","city","he"
"2","a","city","of"
"2","a","city","police"
"4","a","city","that"
"2","a","civil","suit"
"4","a","civil","war"
"2","a","clash","of"
"5","a","class","act"
"2","a","class","of"
"2","a","clean","up"
"2","a","clear","day"
"3","a","close","friend"
"4","a","close","look"
"2","a","close","up"
"2","a","closed","door"
"5","a","closer","look"
"2","a","club","for"
"2","a","club","i"
"2","a","club","where"
"2","a","clue","i"
"2","a","cluster","of"
"2","a","co","payment"
"2","a","co","worker"
"3","a","coalition","of"
"2","a","coat","of"
"2","a","coffee","mug"
"2","a","coffee","shop"
"2","a","cold","and"
"2","a","cold","beer"
"9","a","collection","of"
"2","a","college","education"
"2","a","collision","between"
"15","a","combination","of"
"2","a","combined","with"
"2","a","comic","book"
"2","a","comment","below"
"2","a","comment","i"
"7","a","comment","on"
"2","a","commission","that"
"2","a","common","bond"
"2","a","community","center"
"6","a","company","that"
"2","a","company","which"
"2","a","company","who"
"2","a","comparison","of"
"2","a","compelling","story"
"2","a","complaint","rate"
"3","a","complaint","with"
"2","a","complete","list"
"2","a","complete","unk"
"6","a","completely","different"
"2","a","computer","and"
"2","a","computer","unk"
"2","a","concert","and"
"2","a","concert","i"
"2","a","condition","of"
"4","a","conference","call"
"3","a","conference","in"
"2","a","connection","and"
"2","a","conscious","effort"
"2","a","consistent","message"
"2","a","constitutional","amendment"
"2","a","consumer","of"
"2","a","contest","at"
"2","a","contest","for"
"2","a","contingent","of"
"2","a","continuation","of"
"2","a","contract","for"
"2","a","contract","to"
"2","a","contribution","to"
"3","a","controlled","substance"
"3","a","convenience","store"
"2","a","conversation","about"
"3","a","conversation","with"
"2","a","cook","and"
"2","a","cool","idea"
"2","a","cool","story"
"2","a","cooling","rack"
"2","a","cop","and"
"23","a","copy","of"
"3","a","coral","lip"
"2","a","corporate","headquarters"
"2","a","cost","of"
"2","a","couch","in"
"2","a","couple","and"
"2","a","couple","beers"
"2","a","couple","close"
"4","a","couple","days"
"3","a","couple","hours"
"3","a","couple","more"
"110","a","couple","of"
"2","a","couple","rubs"
"2","a","couple","that"
"2","a","couple","throws"
"3","a","couple","times"
"2","a","couple","unk"
"4","a","couple","weeks"
"3","a","couple","years"
"3","a","course","of"
"2","a","court","of"
"2","a","crack","at"
"3","a","crack","in"
"6","a","craving","for"
"4","a","credit","card"
"3","a","crew","of"
"2","a","crime","against"
"2","a","crime","to"
"2","a","crisis","management"
"2","a","critic","of"
"2","a","critical","unk"
"2","a","crowd","the"
"2","a","crown","that"
"2","a","crush","on"
"2","a","cue","from"
"2","a","culture","that"
"3","a","culture","where"
"15","a","cup","of"
"2","a","cute","little"
"2","a","cute","one"
"2","a","dab","of"
"5","a","daily","basis"
"3","a","dairy","queen"
"2","a","damnable","lie"
"2","a","dance","with"
"2","a","dangerous","precedent"
"2","a","dark","comedy"
"2","a","dark","suit"
"2","a","dash","of"
"3","a","date","and"
"4","a","date","with"
"2","a","daughter","in"
"2","a","daunting","task"
"2","a","day's","worth"
"6","a","day","after"
"12","a","day","and"
"3","a","day","at"
"4","a","day","before"
"3","a","day","but"
"6","a","day","for"
"4","a","day","i"
"8","a","day","in"
"2","a","day","is"
"2","a","day","later"
"3","a","day","like"
"7","a","day","of"
"6","a","day","off"
"2","a","day","on"
"7","a","day","or"
"2","a","day","six"
"3","a","day","that"
"7","a","day","to"
"2","a","day","we"
"2","a","day","when"
"2","a","day","with"
"4","a","day","without"
"2","a","deal","of"
"2","a","deal","that"
"2","a","deal","to"
"2","a","deal","with"
"2","a","death","in"
"2","a","death","sentence"
"2","a","debate","about"
"8","a","decade","ago"
"2","a","decade","earlier"
"3","a","decade","later"
"4","a","decade","of"
"3","a","decade","or"
"2","a","decade","the"
"2","a","decision","by"
"3","a","decision","that"
"3","a","decline","in"
"6","a","deep","breath"
"2","a","deeper","look"
"2","a","deeper","sense"
"3","a","degree","in"
"3","a","degree","of"
"2","a","degree","oven"
"2","a","delegation","of"
"2","a","democrat","who"
"2","a","democratic","society"
"2","a","dental","appointment"
"2","a","depth","of"
"2","a","des","moines"
"5","a","description","of"
"7","a","desire","to"
"2","a","diaper","drive"
"2","a","dick","i"
"2","a","diet","pepsi"
"3","a","difference","a"
"6","a","difference","between"
"9","a","difference","in"
"2","a","difference","it"
"3","a","difference","to"
"3","a","different","approach"
"2","a","different","cake"
"4","a","different","kind"
"2","a","different","language"
"2","a","different","plan"
"2","a","different","time"
"4","a","different","way"
"3","a","difficult","task"
"2","a","difficult","time"
"2","a","digital","photo"
"2","a","dime","a"
"2","a","dining","room"
"2","a","direct","link"
"2","a","direction","of"
"2","a","director","who"
"2","a","dirty","word"
"2","a","discount","on"
"2","a","discussion","of"
"2","a","disney","world"
"2","a","distant","memory"
"2","a","doctor","and"
"2","a","doctorate","in"
"2","a","documentary","about"
"2","a","dog","for"
"2","a","dog","i"
"2","a","dog","in"
"2","a","dog","that"
"2","a","dollop","of"
"3","a","donation","to"
"2","a","door","bell"
"2","a","dorm","room"
"2","a","dose","of"
"3","a","double","double"
"2","a","double","play"
"3","a","double","unk"
"2","a","doubt","the"
"2","a","dozen","of"
"4","a","dozen","or"
"2","a","dozen","people"
"2","a","dozen","unk"
"4","a","dream","about"
"4","a","dream","come"
"2","a","dream","for"
"3","a","dream","last"
"2","a","dream","state"
"2","a","dream","that"
"3","a","drink","and"
"2","a","drink","at"
"2","a","drive","thru"
"4","a","drop","in"
"2","a","drunken","driving"
"2","a","dry","spell"
"2","a","dude","that"
"3","a","edge","in"
"2","a","era","in"
"2","a","fabulous","day"
"2","a","fabulous","week"
"3","a","factor","in"
"3","a","fair","amount"
"5","a","fair","and"
"2","a","fair","chance"
"2","a","fair","price"
"3","a","family","and"
"2","a","family","friend"
"3","a","family","heirloom"
"2","a","family","in"
"2","a","family","member"
"6","a","family","of"
"2","a","family","photo"
"2","a","family","unk"
"2","a","famous","poem"
"2","a","fan's","hope"
"2","a","fan","account"
"3","a","fan","base"
"2","a","fan","get"
"2","a","fan","i"
"2","a","fan","in"
"23","a","fan","of"
"2","a","fantastic","day"
"2","a","fantastic","time"
"2","a","far","better"
"2","a","far","cry"
"2","a","far","more"
"2","a","far","off"
"2","a","far","superior"
"2","a","fashion","statement"
"2","a","fast","break"
"2","a","fast","car"
"2","a","fat","guy"
"2","a","father","son"
"2","a","favor","and"
"2","a","favorite","among"
"2","a","favorite","now"
"5","a","favorite","of"
"2","a","feast","of"
"2","a","feature","about"
"2","a","federal","appeals"
"2","a","federal","grand"
"2","a","federal","judge"
"2","a","feeble","attempt"
"4","a","feel","for"
"2","a","feeling","that"
"2","a","fellow","student"
"2","a","female","and"
"2","a","festival","of"
"2","a","fever","and"
"2","a","few","and"
"2","a","few","black"
"3","a","few","blocks"
"3","a","few","books"
"2","a","few","bottles"
"2","a","few","changes"
"2","a","few","classes"
"29","a","few","days"
"3","a","few","decades"
"2","a","few","deep"
"2","a","few","drops"
"4","a","few","extra"
"2","a","few","feathers"
"7","a","few","feet"
"4","a","few","friends"
"2","a","few","games"
"2","a","few","good"
"18","a","few","hours"
"5","a","few","hundred"
"2","a","few","i"
"4","a","few","in"
"3","a","few","inches"
"2","a","few","issues"
"2","a","few","items"
"3","a","few","lines"
"25","a","few","minutes"
"3","a","few","moments"
"23","a","few","months"
"27","a","few","more"
"3","a","few","new"
"3","a","few","nights"
"27","a","few","of"
"3","a","few","others"
"2","a","few","pages"
"5","a","few","people"
"4","a","few","photos"
"2","a","few","pictures"
"4","a","few","pieces"
"3","a","few","posts"
"3","a","few","questions"
"2","a","few","ribs"
"10","a","few","seconds"
"2","a","few","short"
"2","a","few","shows"
"3","a","few","songs"
"4","a","few","that"
"19","a","few","things"
"3","a","few","thoughts"
"2","a","few","thousand"
"11","a","few","times"
"22","a","few","unk"
"26","a","few","weeks"
"2","a","few","well"
"2","a","few","who"
"2","a","few","will"
"2","a","few","words"
"43","a","few","years"
"3","a","field","goal"
"2","a","field","trip"
"2","a","fight","or"
"5","a","fight","with"
"2","a","film","about"
"2","a","film","buff"
"2","a","film","i'm"
"3","a","financial","crisis"
"2","a","fine","for"
"5","a","fine","line"
"2","a","fine","time"
"2","a","finish","from"
"2","a","fire","alarm"
"2","a","fire","and"
"2","a","fire","truck"
"2","a","fire","unk"
"2","a","firearm","on"
"2","a","firm","grasp"
"2","a","first","for"
"2","a","first","impression"
"2","a","first","period"
"6","a","first","round"
"2","a","first","team"
"2","a","first","year"
"2","a","fit","of"
"3","a","five","minute"
"2","a","five","point"
"6","a","five","year"
"2","a","fixture","in"
"2","a","flash","of"
"2","a","flat","and"
"3","a","flat","screen"
"2","a","flaw","in"
"3","a","flea","market"
"2","a","fleet","of"
"2","a","flight","to"
"3","a","flock","of"
"2","a","floured","surface"
"4","a","flurry","of"
"2","a","fly","ball"
"2","a","focal","point"
"2","a","focus","of"
"2","a","follow","back"
"4","a","follow","up"
"2","a","follower","of"
"2","a","fondness","for"
"3","a","food","truck"
"2","a","fool","to"
"2","a","football","game"
"2","a","for","the"
"2","a","ford","mustang"
"2","a","forest","of"
"5","a","form","of"
"3","a","former","federal"
"2","a","former","teacher"
"6","a","former","unk"
"2","a","forum","to"
"2","a","founding","member"
"2","a","fountain","in"
"2","a","four","hour"
"2","a","four","team"
"4","a","four","year"
"4","a","fraction","of"
"2","a","frame","for"
"2","a","franchise","record"
"3","a","free","agent"
"3","a","free","download"
"4","a","free","pass"
"2","a","free","spirit"
"6","a","free","unk"
"2","a","fresh","start"
"2","a","freshman","at"
"3","a","friday","night"
"2","a","friend's","house"
"2","a","friend","about"
"2","a","friend","from"
"2","a","friend","in"
"3","a","friend","is"
"2","a","friend","lol"
"14","a","friend","of"
"2","a","friend","that"
"2","a","friend","today"
"2","a","friend","we"
"2","a","friendship","that"
"2","a","fruit","unk"
"2","a","frying","pan"
"2","a","full","bar"
"2","a","full","blown"
"4","a","full","day"
"2","a","full","fledged"
"3","a","full","life"
"2","a","full","moon"
"3","a","full","range"
"2","a","full","scale"
"8","a","full","time"
"3","a","fun","and"
"2","a","fun","day"
"2","a","fun","little"
"3","a","fun","night"
"2","a","fun","show"
"2","a","fun","thing"
"4","a","fun","time"
"3","a","fun","way"
"2","a","function","of"
"2","a","fundraiser","for"
"2","a","fundraiser","that"
"3","a","funny","thing"
"2","a","gain","to"
"2","a","gallon","of"
"4","a","game","and"
"2","a","game","as"
"2","a","game","changer"
"3","a","game","for"
"3","a","game","high"
"3","a","game","in"
"9","a","game","of"
"4","a","game","on"
"3","a","game","that"
"2","a","game","to"
"3","a","game","when"
"2","a","gangsta","by"
"2","a","gap","in"
"2","a","gay","and"
"3","a","general","election"
"2","a","generation","ago"
"2","a","gentleman","and"
"3","a","ghost","town"
"2","a","gift","and"
"6","a","gift","card"
"5","a","gift","certificate"
"3","a","gift","for"
"3","a","gift","from"
"2","a","gift","to"
"2","a","giggle","and"
"4","a","girl","and"
"5","a","girl","in"
"2","a","girl","that"
"4","a","girl","who"
"2","a","girl","with"
"2","a","given","and"
"2","a","glass","half"
"11","a","glass","of"
"6","a","glimpse","of"
"2","a","go","ahead"
"2","a","goal","and"
"4","a","goal","of"
"2","a","goal","to"
"2","a","god","who"
"3","a","good","and"
"7","a","good","book"
"4","a","good","cause"
"2","a","good","choice"
"2","a","good","combo"
"29","a","good","day"
"4","a","good","deal"
"3","a","good","deed"
"3","a","good","example"
"3","a","good","excuse"
"2","a","good","feeling"
"3","a","good","first"
"8","a","good","fit"
"6","a","good","friend"
"5","a","good","game"
"4","a","good","girl"
"3","a","good","head"
"2","a","good","heart"
"24","a","good","idea"
"10","a","good","job"
"3","a","good","kid"
"2","a","good","laptop"
"2","a","good","laugh"
"2","a","good","long"
"4","a","good","look"
"3","a","good","man"
"2","a","good","meal"
"2","a","good","minutes"
"5","a","good","mood"
"2","a","good","move"
"2","a","good","movie"
"4","a","good","neighbor"
"13","a","good","night"
"3","a","good","night's"
"2","a","good","note"
"2","a","good","number"
"2","a","good","ol"
"18","a","good","one"
"2","a","good","opportunity"
"2","a","good","or"
"4","a","good","place"
"2","a","good","play"
"2","a","good","practice"
"2","a","good","question"
"2","a","good","read"
"3","a","good","reason"
"2","a","good","relationship"
"2","a","good","rest"
"4","a","good","run"
"2","a","good","service"
"2","a","good","session"
"2","a","good","song"
"5","a","good","source"
"2","a","good","spot"
"7","a","good","start"
"6","a","good","story"
"30","a","good","thing"
"32","a","good","time"
"8","a","good","unk"
"7","a","good","way"
"7","a","good","weekend"
"3","a","good","while"
"5","a","good","year"
"2","a","goodwill","ambassador"
"2","a","google","search"
"3","a","gorgeous","day"
"2","a","gospel","contrary"
"2","a","government","and"
"2","a","government","that"
"2","a","graduate","of"
"2","a","grand","and"
"4","a","grand","jury"
"2","a","grand","total"
"3","a","graphic","designer"
"2","a","graphic","novel"
"2","a","great","actor"
"2","a","great","addition"
"2","a","great","amount"
"2","a","great","and"
"2","a","great","attitude"
"2","a","great","book"
"4","a","great","chance"
"2","a","great","chat"
"2","a","great","class"
"3","a","great","conference"
"43","a","great","day"
"16","a","great","deal"
"2","a","great","evening"
"4","a","great","event"
"3","a","great","example"
"2","a","great","extent"
"2","a","great","friday"
"9","a","great","idea"
"2","a","great","intro"
"17","a","great","job"
"2","a","great","labor"
"3","a","great","many"
"2","a","great","morning"
"4","a","great","movie"
"2","a","great","new"
"5","a","great","night"
"10","a","great","one"
"4","a","great","opportunity"
"2","a","great","panel"
"2","a","great","party"
"2","a","great","performance"
"8","a","great","place"
"2","a","great","player"
"2","a","great","question"
"2","a","great","quote"
"3","a","great","run"
"3","a","great","season"
"2","a","great","sense"
"2","a","great","session"
"2","a","great","shot"
"9","a","great","show"
"5","a","great","song"
"2","a","great","source"
"2","a","great","sunday"
"30","a","great","time"
"2","a","great","trip"
"3","a","great","tuesday"
"2","a","great","turnout"
"8","a","great","unk"
"18","a","great","way"
"10","a","great","week"
"22","a","great","weekend"
"2","a","great","year"
"2","a","greater","risk"
"3","a","green","light"
"2","a","green","switch"
"3","a","grocery","store"
"2","a","groundswell","of"
"3","a","group","called"
"39","a","group","of"
"7","a","group","that"
"5","a","growing","number"
"2","a","growing","unk"
"3","a","grown","up"
"2","a","gun","on"
"2","a","gunshot","wound"
"2","a","guy","doesn't"
"2","a","guy","i"
"2","a","guy","in"
"3","a","guy","named"
"4","a","guy","that"
"3","a","guy","to"
"9","a","guy","who"
"2","a","guy","with"
"2","a","habit","aristotle"
"2","a","habit","of"
"2","a","half","after"
"2","a","half","ago"
"2","a","half","and"
"2","a","half","century"
"3","a","half","dozen"
"3","a","half","for"
"7","a","half","hour"
"2","a","half","hours"
"2","a","half","left"
"2","a","half","marathon"
"4","a","half","men"
"2","a","half","of"
"2","a","hand","for"
"3","a","hand","in"
"16","a","handful","of"
"3","a","handle","on"
"3","a","happy","birthday"
"3","a","happy","camper"
"2","a","happy","ending"
"2","a","happy","holiday"
"2","a","hard","and"
"2","a","hard","boiled"
"3","a","hard","copy"
"2","a","hard","fight"
"3","a","hard","line"
"16","a","hard","time"
"3","a","head","coach"
"2","a","head","start"
"2","a","headache","for"
"2","a","heads","up"
"2","a","healthy","diet"
"4","a","hearing","on"
"10","a","heart","attack"
"2","a","heart","that"
"2","a","heart","to"
"2","a","heartbeat","if"
"3","a","heck","of"
"4","a","hell","of"
"2","a","high","bar"
"2","a","high","concentration"
"3","a","high","end"
"2","a","high","five"
"5","a","high","level"
"2","a","high","near"
"2","a","high","note"
"2","a","high","of"
"2","a","high","powered"
"3","a","high","profile"
"7","a","high","school"
"2","a","high","standard"
"2","a","high","unk"
"2","a","higher","education"
"3","a","higher","rate"
"7","a","hint","of"
"2","a","hip","hop"
"3","a","history","of"
"2","a","hit","and"
"2","a","hit","from"
"2","a","hit","with"
"2","a","hobby","it"
"2","a","holding","cell"
"5","a","hole","in"
"2","a","holiday","in"
"2","a","holiday","inn"
"3","a","home","for"
"7","a","home","in"
"9","a","home","run"
"2","a","home","that"
"4","a","home","with"
"2","a","homemade","unk"
"2","a","horror","film"
"2","a","horse","and"
"2","a","horse","to"
"2","a","hospital","bed"
"2","a","hospital","in"
"7","a","host","of"
"3","a","hot","date"
"4","a","hot","dog"
"2","a","hot","girl"
"2","a","hot","shower"
"2","a","hot","streak"
"2","a","hot","topic"
"2","a","hot","unk"
"2","a","hotel","in"
"2","a","hotel","lobby"
"3","a","house","concert"
"2","a","house","full"
"6","a","house","in"
"2","a","house","is"
"2","a","house","that"
"2","a","household","name"
"3","a","hug","and"
"2","a","huge","boost"
"2","a","huge","difference"
"9","a","huge","fan"
"2","a","huge","favor"
"2","a","huge","hit"
"2","a","huge","hole"
"2","a","huge","loss"
"2","a","huge","success"
"2","a","huge","undertaking"
"7","a","huge","unk"
"2","a","human","being"
"2","a","human","unk"
"3","a","hundred","thousand"
"2","a","hundred","yards"
"3","a","hunger","for"
"2","a","i","hate"
"2","a","if","he"
"4","a","in","the"
"2","a","inch","tail"
"2","a","jan","loss"
"2","a","jets","fan"
"4","a","job","and"
"3","a","job","at"
"2","a","job","by"
"2","a","job","for"
"2","a","job","that"
"2","a","job","unk"
"2","a","job","with"
"2","a","joint","session"
"3","a","jump","start"
"3","a","junior","at"
"3","a","juror","asks"
"2","a","jury","in"
"5","a","k","a"
"2","a","key","moment"
"4","a","key","role"
"3","a","kick","out"
"5","a","kid","and"
"2","a","kid","but"
"5","a","kid","i"
"2","a","kid","in"
"2","a","kid","it"
"2","a","kid","out"
"2","a","kid","so"
"2","a","kid","the"
"2","a","kid","with"
"2","a","kid","you"
"11","a","kind","of"
"2","a","kindle","fire"
"2","a","knee","in"
"2","a","knee","injury"
"2","a","korean","war"
"2","a","la","carte"
"3","a","la","unk"
"12","a","lack","of"
"2","a","language","i"
"2","a","laptop","at"
"2","a","laptop","that"
"3","a","large","amount"
"2","a","large","and"
"8","a","large","bowl"
"3","a","large","dog"
"2","a","large","family"
"2","a","large","heavy"
"4","a","large","number"
